SCREENWIDTH = 200
SCREENHEIGHT = 150
TICKRATE = 100000  # frame per sec
velocity = 2  # pixels per frame
apple_size = 2  # pixels
snake_size = 6  # pixels
positioner = snake_size//velocity
population_size = 100
parents_size = 10
idle_time = 2500  # ms
mutation_rate = 100  # per mile
mutation_frequency = 10  # percent
crossing_probability = 20  # percent
epoch_number = 10000

<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<Training>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>

Epoch;Best;Average
1;2.019;0.18078
2;3.004;0.42123
3;3.022;0.8732
4;6.018;1.3367099999999998
5;6.058;1.89939
6;15.122;2.42165
7;37.273;3.20795
8;35.282;4.95127
9;39.284;5.27325
10;34.192;5.73594
11;29.138;6.4922699999999995
12;48.523;9.86697
13;33.118;7.96203
14;48.236;8.39179
15;46.199;11.59358
16;51.253;10.9299
17;47.187;10.39847
18;41.221;13.05127
19;40.203;13.11074
20;46.25;11.21249
21;39.179;11.60594
22;44.207;9.92614
23;44.208;11.43507
24;41.223;9.28138
25;56.258;13.95804
26;47.217;12.69856
27;53.273;13.57598
28;42.21;13.72302
29;46.243;13.81531
30;51.24;14.33742
31;63.284;14.14886
32;49.238;17.18068
33;44.213;13.94594
34;47.23;15.81223
35;54.25;15.10034
36;55.263;14.087
37;46.156;15.72447
38;47.248;15.4298
39;58.252;14.99895
40;38.171;14.17802
41;62.316;15.28996
42;51.244;15.74482
43;44.209;15.68306
44;46.199;13.40009
45;46.207;15.39065
46;50.164;13.22025
47;41.198;13.61132
48;47.227;12.728
49;41.22;14.65019
50;49.216;14.04377
51;50.171;14.09531
52;56.267;15.9012
53;50.225;15.44739
54;41.184;14.09505
55;57.188;15.98233
56;54.248;14.14659
57;61.294;14.936069999999999
58;50.203;14.24182
59;57.266;13.9158
60;46.214;13.40311
61;47.234;13.060550000000001
62;45.194;12.72165
63;40.186;13.32684
64;42.294;13.57802
65;53.288;14.33473
66;49.232;14.52952
67;43.208;14.16642
68;47.231;15.3332
69;41.195;14.5167
70;49.255;15.59497
71;49.236;16.66078
72;59.27;17.70246
73;40.213;15.47269
74;48.21;13.40374
75;52.226;12.64137
76;44.232;15.35255
77;43.214;13.45394
78;52.218;13.82344
79;53.218;14.16446
80;41.173;15.63916
81;42.194;14.69622
82;50.21;14.56685
83;55.251;14.04578
84;54.262;15.7534
85;52.24;15.80538
86;49.242;16.16589
87;45.185;16.17781
88;42.199;14.95921
89;56.228;17.52053
90;44.229;14.98896
91;46.209;16.68646
92;47.243;14.28895
93;47.191;14.52759
94;41.192;15.17119
95;50.236;16.94767
96;52.248;13.59336
97;42.221;14.2147
98;53.24;13.83588
99;41.21;15.29175
100;48.226;15.59307
101;43.213;15.55219
102;57.268;15.59164
103;41.198;14.44943
104;52.195;15.843
105;52.3;14.55894
106;50.286;16.85892
107;48.191;16.8673
108;39.199;14.17618
109;56.23;17.02874
110;48.188;14.39682
111;46.212;12.28881
112;51.264;14.64723
113;45.202;15.60412
114;54.254;16.22653
115;48.222;13.20257
116;56.292;14.6798
117;42.178;15.189119999999999
118;41.216;13.36364
119;44.194;14.21572
120;56.273;15.09287
121;45.194;14.66969
122;43.193;15.21118
123;47.222;15.77343
124;57.242;16.04448
125;45.23;14.59704
126;55.258;15.31011
127;49.239;14.25833
128;49.207;14.5058
129;47.205;15.09068
130;45.227;14.28754
